spp,size,family,fg,habitat,Included
Cirripectes vanderbilti,10,Blenniidae,Detritivore,Reef,1
Cirripectes variolosus,8.9,Blenniidae,Detritivore,Reef,1
Clepticus parrae,30,Labridae,Planktivore,Reef,1
Conger cinereus,140,Congridae,Pisci-invertivore,Reef,1
Coradion chrysozonus,15,Chaetodontidae,Micro-invertivore,Reef,1
Coris aygula,120,Labridae,Macro-invertivore,Reef,1
Coris ballieui,30,Labridae,Micro-invertivore,Reef,1
Coris batuensis,17,Labridae,Micro-invertivore,Reef,1
Coris caudimacula,20,Labridae,Micro-invertivore,Reef,1
Coris centralis,9.2,Labridae,Micro-invertivore,Reef,1
Coris debueni,27,Labridae,Micro-invertivore,Reef,1
Coris dorsomacula,38,Labridae,Micro-invertivore,Reef,1
Coris flavovittata,50.8,Labridae,Macro-invertivore,Reef,1
Coris formosa,60,Labridae,Macro-invertivore,Reef,1
Coris gaimard,40,Labridae,Macro-invertivore,Reef,1
Coris roseoviridis,19.8,Labridae,Micro-invertivore,Reef,1
Coris venusta,19.3,Labridae,Micro-invertivore,Reef,1
Coryphopterus dicrus,5,Gobiidae,Detritivore,Reef,1
Coryphopterus eidolon,6,Gobiidae,Detritivore,Reef,1
Coryphopterus glaucofraenum,8,Gobiidae,Detritivore,Reef,1
Coryphopterus hyalinus,2.5,Gobiidae,Detritivore,Reef,1
Coryphopterus lipernes,3,Gobiidae,Detritivore,Reef,1
Coryphopterus sp,7,Gobiidae,Detritivore,Reef,1
Coryphopterus sp,7,Gobiidae,Detritivore,Reef,1
Corythoichthys flavofasciatus,12,Syngnathidae,Micro-invertivore,Reef,1
Cromileptes altivelis,70,Serranidae,Piscivore,Reef,1
Cryptocentrus cryptocentrus,13,Gobiidae,Detritivore,Reef,1
Ctenochaetus binotatus,22,Acanthuridae,Detritivore,Reef,1
Ctenochaetus cyanocheilus,16,Acanthuridae,Detritivore,Reef,1
Ctenochaetus flavicauda,11.8,Acanthuridae,Detritivore,Reef,1
Ctenochaetus hawaiiensis,25,Acanthuridae,Detritivore,Reef,1
Ctenochaetus marginatus,27,Acanthuridae,Detritivore,Reef,1
Ctenochaetus sp,21,Acanthuridae,Detritivore,Reef,1
Ctenochaetus striatus,26,Acanthuridae,Detritivore,Reef,1
Ctenochaetus strigosus,14.6,Acanthuridae,Detritivore,Reef,1
Ctenochaetus strigosus,14.6,Acanthuridae,Detritivore,Reef,1
Ctenochaetus tominiensis,16,Acanthuridae,Detritivore,Reef,1
Ctenochaetus truncatus,16,Acanthuridae,Detritivore,Reef,1
Ctenogobiops sp,17,Acanthuridae,Detritivore,Reef,1
Ctenogobiops tangaroai,6,Gobiidae,Detritivore,Reef,1
Ctenogobius saepepallens,5,Gobiidae,Detritivore,Reef,1
Cymolutes lecluse,17.8,Labridae,Macro-invertivore,Reef,1
Dactyloptena orientalis,40,Dactylopteridae,Pisci-invertivore,Reef,1
Dascyllus albisella,13,Pomacentridae,Planktivore,Reef,1
Dascyllus aruanus,10,Pomacentridae,Planktivore,Reef,1
Dascyllus auripinnis,11.5,Pomacentridae,Planktivore,Reef,1
Dascyllus carneus,7,Pomacentridae,Planktivore,Reef,1
Dascyllus flavicaudus,12,Pomacentridae,Planktivore,Reef,1
Dascyllus reticulatus,9,Pomacentridae,Planktivore,Reef,1
Dascyllus trimaculatus,11,Pomacentridae,Planktivore,Reef,1
Dasyatis americanus,67,Dasyatidae,Macro-invertivore,Reef,1
Pseudocaranx dentex,122,Carangidae,Piscivore,Pelagic,0
Dendrochirus barberi,16.5,Scorpaenidae,Pisci-invertivore,Reef,1
Dermatolepis striolata,85,Serranidae,Piscivore,Reef,1
Diagramma picta,100,Haemulidae,Micro-invertivore,Reef,1
Diagramma pictum,100,Haemulidae,Micro-invertivore,Reef,1
Diodon holocanthus,50,Diodontidae,Spongivore,Reef,1
Diodon hystrix,91,Diodontidae,Spongivore,Reef,1
Dischistodus melanotus,16,Pomacentridae,Detritivore,Reef,1
Dischistodus perspicillatus,18,Pomacentridae,Detritivore,Reef,1
Dischistodus prosopotaenia,18.5,Pomacentridae,Detritivore,Reef,1
Dischistodus pseudochrysopoecilus,18,Pomacentridae,Detritivore,Reef,1
Scomberoides lysan,110,Carangidae,Piscivore,Pelagic,0
Selar crumenophthalmus,70,Carangidae,NA,Pelagic,0
Echidna catenata,165,Muraenidae,Piscivore,Reef,1
Echidna nebulosa,100,Muraenidae,Piscivore,Reef,1
Ecsenius bicolor,11,Blenniidae,Detritivore,Reef,1
Ecsenius lineatus,9,Blenniidae,Detritivore,Reef,1
Ecsenius midas,13,Blenniidae,Detritivore,Reef,1
Ecsenius nalolo,6.5,Blenniidae,Detritivore,Reef,1
Ecsenius opsifrontalis,5,Blenniidae,Detritivore,Reef,1
Elacatinus chancei,5,Gobiidae,Detritivore,Reef,1
Elacatinus chancei,5,Gobiidae,Detritivore,Reef,1
Elacatinus chancei,5,Gobiidae,Detritivore,Reef,1
Elacatinus dilepis,2.5,Gobiidae,Detritivore,Reef,1
Elacatinus dilepis,2.5,Gobiidae,Detritivore,Reef,1
Elacatinus dilepis,2.5,Gobiidae,Detritivore,Reef,1
Elacatinus evelynae,4,Gobiidae,Detritivore,Reef,1
Elacatinus evelynae,4,Gobiidae,Detritivore,Reef,1
Elacatinus evelynae,4,Gobiidae,Detritivore,Reef,1
Elacatinus horsti,5,Gobiidae,Detritivore,Reef,1
Elacatinus horsti,5,Gobiidae,Detritivore,Reef,1
Elacatinus horsti,5,Gobiidae,Detritivore,Reef,1
Elacatinus lousiae,3,Gobiidae,Detritivore,Reef,1
Elacatinus lousiae,3,Gobiidae,Detritivore,Reef,1
Elacatinus lousiae,3,Gobiidae,Detritivore,Reef,1
Elacatinus oceanops,5,Gobiidae,Detritivore,Reef,1
Elacatinus oceanops,5,Gobiidae,Detritivore,Reef,1
Elacatinus oceanops,5,Gobiidae,Detritivore,Reef,1
Elacatinus prochilos,4,Gobiidae,Detritivore,Reef,1
Elacatinus prochilos,4,Gobiidae,Detritivore,Reef,1
Elacatinus prochilos,4,Gobiidae,Detritivore,Reef,1
Elacatinus randalli,4.6,Gobiidae,Detritivore,Reef,1
Elacatinus randalli,4.6,Gobiidae,Detritivore,Reef,1
Elacatinus randalli,4.6,Gobiidae,Detritivore,Reef,1
Elacatinus sp,3,Gobiidae,Detritivore,Reef,1
Elacatinus sp.,3,Gobiidae,Detritivore,Reef,1
Elacatinus sp.,3,Gobiidae,Detritivore,Reef,1
Elacatinus xanthiprora,4,Gobiidae,Detritivore,Reef,1
Elacatinus xanthiprora,4,Gobiidae,Detritivore,Reef,1
Elacatinus xanthiprora,4,Gobiidae,Detritivore,Reef,1
Elagatis bipinnulata,180,Carangidae,Piscivore,Reef,1
Elagatis bipinnulata,180,Carangidae,Piscivore,Reef,1
Emblemaria pandionis,5,Chaenopsidae,Detritivore,Reef,1
Emblemariopsis signifer,3,Chaenopsidae,Detritivore,Reef,1
Emblemariopsis sp,3,Chaenopsidae,Detritivore,Reef,1
Emblemariopsis sp,3,Chaenopsidae,Detritivore,Reef,1
Enchelycore carychroa,34,Muraenidae,Piscivore,Reef,1
Enchelycore nigricans,100,Muraenidae,Piscivore,Reef,1
Enchelycore pardalis,92,Muraenidae,Piscivore,Reef,1
Enchelycore ramosus,180,Muraenidae,Piscivore,Reef,1
Enchelynassa canina,250,Muraenidae,Piscivore,Reef,1
Seriola dumerili,190,Carangidae,Piscivore,Pelagic,0
Enneanectes boehlkei,4,Tripterygiidae,Micro-invertivore,Reef,1
Enneanectes pectoralis,4,Tripterygiidae,Micro-invertivore,Reef,1
Enneapterygius atriceps,2.6,Tripterygiidae,Micro-invertivore,Reef,1
Enneapterygius tutuilae,4,Tripterygiidae,Micro-invertivore,Reef,1
Entomacrodus chapmani,3.9,Blenniidae,Detritivore,Reef,1
Entomacrodus marmoratus,4,Blenniidae,Detritivore,Reef,1
Epibulus insidiator,54,Labridae,Pisci-invertivore,Reef,1
Epinephelus areolatus,47,Epinephilidae,Piscivore,Reef,1
Epinephelus caeruleopunctatus,76,Epinephilidae,Piscivore,Reef,1
Epinephelus coeruleopunctatus,76,Serranidae,Piscivore,Reef,1
Epinephelus cyanopodus,122,Epinephilidae,Piscivore,Reef,1
Epinephelus fasciatus,40,Serranidae,Piscivore,Reef,1
Epinephelus fuscoguttatus,120,Serranidae,Piscivore,Reef,1
Epinephelus guttatus,76,Serranidae,Piscivore,Reef,1
Epinephelus hexagonatus,27.5,Serranidae,Piscivore,Reef,1
Epinephelus howlandi,55,Serranidae,Piscivore,Reef,1
Epinephelus lanceolatus,270,Serranidae,Piscivore,Reef,1
Epinephelus macrospilos,51,Serranidae,Piscivore,Reef,1
Epinephelus maculatus,60.5,Serranidae,Piscivore,Reef,1
Epinephelus malabaricus,234,Epinephilidae,Piscivore,Reef,1
Epinephelus melanostigma,35,Serranidae,Piscivore,Reef,1
Epinephelus merra,32,Serranidae,Piscivore,Reef,1
Epinephelus multinotatus,100,Serranidae,Piscivore,Reef,1
Epinephelus ongus,40,Epinephilidae,Piscivore,Reef,1
Epinephelus polyphekadion,90,Serranidae,Piscivore,Reef,1
Epinephelus quernus,122,Serranidae,Piscivore,Reef,1
Epinephelus retouti,50,Serranidae,Piscivore,Reef,1
Epinephelus socialis,52,Serranidae,Piscivore,Reef,1
Epinephelus sp,51,Serranidae,Piscivore,Reef,1
Epinephelus spilotoceps,35,Serranidae,Piscivore,Reef,1
Epinephelus striatus,122,Serranidae,Piscivore,Reef,1
Epinephelus tauvina,90,Serranidae,Piscivore,Reef,1
Epinephelus tukula,200,Serranidae,Piscivore,Reef,1
Equetus punctatus,27,Sciaenidae,Micro-invertivore,Reef,1
Trachinotus bailloni,60,Carangidae,Pisci-invertivore,Pelagic,0
Eviota albolineata,3,Gobiidae,Detritivore,Reef,1
Eviota guttata,2.5,Gobiidae,Detritivore,Reef,1
Eviota sp,3,Gobiidae,Detritivore,Reef,1
Exallias brevis,14.5,Blenniidae,Corallivore,Reef,1
Exallias brevis,14.5,Blenniidae,Corallivore,Reef,1
Exyrias sp,3,Gobiidae,Detritivore,Reef,1
Fistualaria tabacaria,200,Fistulariidae,Piscivore,Reef,1
Fistularia commersonii,160,Fistulariidae,Piscivore,Reef,1
Trachinotus bailloni,60,Carangidae,Pisci-invertivore,Pelagic,0
Foa brachygramma,6.4,Apogonidae,Planktivore,Reef,1
Forcipiger flavissimus,22,Chaetodontidae,Micro-invertivore,Reef,1
Forcipiger flavissimus,22,Chaetodontidae,Micro-invertivore,Reef,1
Forcipiger longirostris,22,Chaetodontidae,Micro-invertivore,Reef,1
Forcipiger longirostris,22,Chaetodontidae,Micro-invertivore,Reef,1
Fusigobius duospilus,6,Gobiidae,Detritivore,Reef,1
Fusigobius neophytus,7.5,Gobiidae,Detritivore,Reef,1
Genicanthus personatus,21,Pomacanthidae,Planktivore,Reef,1
Genicanthus watanabei,15,Pomacanthidae,Planktivore,Reef,1
Gerres cinereus,41,Gerreidae,Micro-invertivore,Reef,1
Ginglymostoma cirratum,430,Rhincodontidae,Pisci-invertivore,Reef,1
Trachinotus blochii,110,Carangidae,Pisci-invertivore,Pelagic,0
Gnathodentex aureolineatus,30,Lethrinidae,Pisci-invertivore,Reef,1
Gnathodentex aureolineatus,30,Lethrinidae,Pisci-invertivore,Reef,1
Gnathodentex sp,30,Lethrinidae,Macro-invertivore,Reef,1
Gnathodentex sp,30,Lethrinidae,Macro-invertivore,Reef,1
Gnatholepis anjerensis,8.4,Gobiidae,Detritivore,Reef,1
Gnatholepis australis,7,Gobiidae,Detritivore,Reef,1
Gnatholepis cauerensis,8,Gobiidae,Detritivore,Reef,1
Gnatholepis pascuensis,6,Gobiidae,Detritivore,Reef,1
Gnatholepis sp,6,Gobiidae,Detritivore,Reef,1
Gnatholepis thompsoni,8.2,Gobiidae,Detritivore,Reef,1
Gobiidae sp,7,Gobiidae,Detritivore,Reef,1
Gobiidae sp,6,Gobiidae,Detritivore,Reef,1
Gobiodon citrinus,6.6,Gobiidae,Detritivore,Reef,1
Gobiodon citrinus,5,Gobiidae,Detritivore,Reef,1
Gomphosus caeruleus,32,Labridae,Micro-invertivore,Reef,1
Gomphosus varius,30,Labridae,Micro-invertivore,Reef,1
Gracila albomarginata,40,Epinephilidae,Piscivore,Reef,1
Gracila albomarginata,40,Serranidae,Piscivore,Reef,1
Gramma loreto,8,Grammatidae,Planktivore,Reef,1
Gramma melacara,10,Grammatidae,Planktivore,Reef,1
Grammistes sexlineatus,30,Serranidae,Piscivore,Reef,1
Gunnellichthys curiosus,12,Microdesmidae,Planktivore,Reef,1
Gymnocranius euanus,45,Lethrinidae,Macro-invertivore,Reef,1
Gymnocranius microdon,45,Lethrinidae,Macro-invertivore,Reef,1
Gymnomuraena zebra,150,Muraenidae,Pisci-invertivore,Reef,1
Trachinotus falcatus,122,Carangidae,Pisci-invertivore,Pelagic,0
Gymnothorax breedeni,100,Muraenidae,Piscivore,Reef,1
Gymnothorax eurostus,60,Muraenidae,Piscivore,Reef,1
Gymnothorax flavimarginatus,240,Muraenidae,Piscivore,Reef,1
Gymnothorax funebris,250,Muraenidae,Piscivore,Reef,1
Gymnothorax javanicus,300,Muraenidae,Piscivore,Reef,1
Gymnothorax melatremus,30,Muraenidae,Piscivore,Reef,1
Gymnothorax meleagris,120,Muraenidae,Piscivore,Reef,1
Gymnothorax miliaris,70,Muraenidae,Piscivore,Reef,1
Gymnothorax moringa,200,Muraenidae,Piscivore,Reef,1
Gymnothorax nudivomer,180,Muraenidae,Piscivore,Reef,1
Gymnothorax porphyreus,34.6,Muraenidae,Piscivore,Reef,1
Gymnothorax sp,110,Muraenidae,Piscivore,Reef,1
Gymnothorax steindachneri,91,Muraenidae,Piscivore,Reef,1
Gymnothorax undulatus,150,Muraenidae,Piscivore,Reef,1
Gymnothorax vicinus,122,Muraenidae,Piscivore,Reef,1
Haemulon album,79,Haemulidae,Micro-invertivore,Reef,1
Haemulon aurolineatum,25,Haemulidae,Micro-invertivore,Reef,1
Haemulon carbonarium,36,Haemulidae,Micro-invertivore,Reef,1
Haemulon chrysargyreum,23,Haemulidae,Micro-invertivore,Reef,1
Haemulon flavolineatum,30,Haemulidae,Micro-invertivore,Reef,1
Haemulon macrostomum,33,Haemulidae,Detritivore,Reef,1
Haemulon macrostomum,43,Haemulidae,Micro-invertivore,Reef,1
Haemulon parra,41.2,Haemulidae,Micro-invertivore,Reef,1
Haemulon plumieri,25,Haemulidae,Micro-invertivore,Reef,1
Haemulon sciurus,46,Haemulidae,Micro-invertivore,Reef,1
Haemulon striatum,28,Haemulidae,Micro-invertivore,Reef,1
Haemulon vittatum,23,Inermiidae,Planktivore,Reef,1
Halichoeres biocellatus,12,Labridae,Micro-invertivore,Reef,1
Halichoeres bivitattus,35,Labridae,Micro-invertivore,Reef,1
Halichoeres bivitattus,35,Labridae,Micro-invertivore,Reef,1
Halichoeres cosmetus,13,Labridae,Micro-invertivore,Reef,1
Halichoeres cyanocephalus,30,Labridae,Micro-invertivore,Reef,1
Halichoeres garnoti,19.3,Labridae,Micro-invertivore,Reef,1
Halichoeres hortulanus,27,Labridae,Micro-invertivore,Reef,1
Halichoeres iridis,11.5,Labridae,Micro-invertivore,Reef,1
Halichoeres maculipinna,18,Labridae,Micro-invertivore,Reef,1
Halichoeres margaritaceus,12.5,Labridae,Micro-invertivore,Reef,1
Halichoeres margaritaceus,12.5,Labridae,Micro-invertivore,Reef,1
Halichoeres marginatus,18,Labridae,Micro-invertivore,Reef,1
Halichoeres melanurus,12,Labridae,Micro-invertivore,Reef,1
Halichoeres melasmapomus,24,Labridae,Micro-invertivore,Reef,1
Halichoeres nebulosus,12,Labridae,Micro-invertivore,Reef,1
Halichoeres ornatissimus,18,Labridae,Micro-invertivore,Reef,1
Halichoeres pallidus,10,Labridae,Micro-invertivore,Reef,1
Halichoeres pictus,13,Labridae,Micro-invertivore,Reef,1
Halichoeres poeyi,20,Labridae,Micro-invertivore,Reef,1
Halichoeres prosopeion,13,Labridae,Micro-invertivore,Reef,1
Halichoeres radiatus,51,Labridae,Micro-invertivore,Reef,1
Halichoeres richmondi,19,Labridae,Micro-invertivore,Reef,1
Halichoeres scapularis,20,Labridae,Micro-invertivore,Reef,1
Halichoeres sp,23,Labridae,Micro-invertivore,Reef,1
Halichoeres trimaculatus,27,Labridae,Micro-invertivore,Reef,1
Halichoeres vrolikii,13,Labridae,Micro-invertivore,Reef,1
Hazeus nephodes,5,Gobiidae,Detritivore,Reef,1
Helcogramma striatum,4.3,Tripterygiidae,Planktivore,Reef,1
Hemigymnus fasciatus,80,Labridae,Macro-invertivore,Reef,1
Hemigymnus melapterus,90,Labridae,Macro-invertivore,Reef,1
Hemitaurichthys polylepis,18,Chaetodontidae,Planktivore,Reef,1
Hemitaurichthys polylepis,18,Chaetodontidae,Planktivore,Reef,1
Hemitaurichthys thompsoni,18,Chaetodontidae,Planktivore,Reef,1
Hemitaurichthys zoster,18,Chaetodontidae,Planktivore,Reef,1
Heniochus acuminatus,25,Chaetodontidae,Micro-invertivore,Reef,1
Heniochus chrysostomus,18,Chaetodontidae,Micro-invertivore,Reef,1
Heniochus chrysostomus,18,Chaetodontidae,Micro-invertivore,Reef,1
Heniochus diphreutes,21,Chaetodontidae,Micro-invertivore,Reef,1
Heniochus monoceros,24,Chaetodontidae,Micro-invertivore,Reef,1
Heniochus monoceros,24,Chaetodontidae,Micro-invertivore,Reef,1
Heniochus pleurotaenia,17,Chaetodontidae,Micro-invertivore,Reef,1
Heniochus singularius,30,Chaetodontidae,Corallivore,Reef,1
Heniochus singularius,30,Chaetodontidae,Corallivore,Reef,1
Heniochus singularius,30,Chaetodontidae,Corallivore,Reef,1
Heniochus sp,25,Chaetodontidae,Micro-invertivore,Reef,1
Heniochus sp,25,Chaetodontidae,Micro-invertivore,Reef,1
Heniochus varius,19,Chaetodontidae,Micro-invertivore,Reef,1
Heteroconger longissimus,51,Congridae,Planktivore,Reef,1
Heteropriacanthus cruentatus,50.7,Priacanthidae,Planktivore,Reef,1
Hippocampus erectus,19,Sygnathidae,Macro-invertivore,Reef,1
Hipposcarus harid,75,Scaridae,Excavator/scraper,Reef,1
Hipposcarus longiceps,60,Scaridae,Excavator/scraper,Reef,1
Holacanthus ciliaris,45,Pomacanthidae,Micro-invertivore,Reef,1
Holacanthus tricolor,35,Pomacanthidae,Micro-invertivore,Reef,1
Trachinotus sp,120,Carangidae,Pisci-invertivore,Pelagic,0
Trachinotus sp,120,Carangidae,Pisci-invertivore,Pelagic,0
Hologymnosus annulatus,40,Labridae,Pisci-invertivore,Reef,1
Hologymnosus doliatus,50,Labridae,Pisci-invertivore,Reef,1
Hoplolatilus starcki,15.5,Malacanthidae,Planktivore,Reef,1
Hypleurochilus caudovittatus,6,Gobiidae,Detritivore,Reef,1
Hypoplectrus chlorurus,12.7,Serranidae,Pisci-invertivore,Reef,1
Hypoplectrus guttavarius,13,Serranidae,Pisci-invertivore,Reef,1
Hypoplectrus indigo,14.3,Serranidae,Pisci-invertivore,Reef,1
Hypoplectrus nigricans,15.2,Serranidae,Pisci-invertivore,Reef,1
Hypoplectrus puella,15.2,Serranidae,Pisci-invertivore,Reef,1
Hypoplectrus sp,14,Serranidae,Pisci-invertivore,Reef,1
Hypoplectrus sp,14,Serranidae,Pisci-invertivore,Reef,1
Hypoplectrus unicolor,12.7,Serranidae,Pisci-invertivore,Reef,1
Carcharhinus albimarginatus,300,Carcharhinidae,Piscivore,Unknown,0
Iniistius aneitensis,24,Labridae,Micro-invertivore,Reef,1
Iniistius pavo,41,Labridae,Micro-invertivore,Reef,1
Iniistius umbrilatus,17.5,Labridae,Micro-invertivore,Reef,1
Istigobius decoratus,13,Gobiidae,Detritivore,Reef,1
Istigobius sp,13,Gobiidae,Detritivore,Reef,1
Itycirrhitus wilhelmi,12,Cirrhitidae,Micro-invertivore,Reef,1
Carcharhinus amblyrhynchos,255,Carcharhinidae,Piscivore,Unknown,0
Koumansetta hectori,-999,Gobiidae,Detritivore,Reef,1
Kuhlia sandvicensis,21.4,Kuhliidae,Pisci-invertivore,Reef,1
Kyphosus bigibbus,75,Kyphosidae,Browser,Reef,1
Kyphosus cinerascens,50,Kyphosidae,Browser,Reef,1
Kyphosus hawaiiensis,41,Kyphosidae,Browser,Reef,1
Kyphosus pacificus,45,Kyphosidae,Browser,Reef,1
Kyphosus sandwicensis,75,Kyphosidae,Browser,Reef,1
Carcharhinus galapagensis,370,Carcharhinidae,Piscivore,Unknown,0
Kyphosus sp,75,Kyphosidae,Browser,Reef,1
Kyphosus sp,75,Kyphosidae,Browser,Reef,1
Kyphosus sp,75,Kyphosidae,Browser,Reef,1
Kyphosus vaigiensis,70,Kyphosidae,Browser,Reef,1
Labrichthys unilineatus,17.5,Labridae,Corallivore,Reef,1
Labrid sp,14,Labridae,Micro-invertivore,Reef,1
Labrid sp,14,Labridae,Micro-invertivore,Reef,1
Labrisomus gobio,6.5,Labrisomidae,Micro-invertivore,Reef,1
Labroides bicolor,15,Labridae,Micro-invertivore,Reef,1
Labroides dimidiatus,14,Labridae,Micro-invertivore,Reef,1
Labroides pectoralis,11,Labridae,Micro-invertivore,Reef,1
Labroides phthirophagus,12,Labridae,Micro-invertivore,Reef,1
Labroides rubrolabiatus,9,Labridae,Micro-invertivore,Reef,1
Labropsis australis,10.5,Labridae,Corallivore,Reef,1
Labropsis polynesica,7.9,Labridae,Corallivore,Reef,1
Labropsis xanthonota,13,Labridae,Corallivore,Reef,1
Lachnolaimus maximus,91,Labridae,Macro-invertivore,Reef,1
Lactophrys bicaudalis,48,Ostraciidae,Micro-invertivore,Reef,1
Lactophrys trigonus,55,Ostraciidae,Micro-invertivore,Reef,1
Lactophrys triqueter,47,Ostraciidae,Micro-invertivore,Reef,1
Lactoria diaphana,34,Ostraciidae,Micro-invertivore,Reef,1
Lactoria fornasini,23,Ostraciidae,Micro-invertivore,Reef,1
Larbichthys unilineatus,17.5,Labridae,Corallivore,Reef,1
Lepidozygus tapeinosoma,10.5,Pomacentridae,Planktivore,Reef,1
Leptoscarus vaigiensis,35,Scaridae,Browser,Reef,1
Lethrinus enigmaticus,55,Lethrinidae,Pisci-invertivore,Reef,1
Lethrinus erythracanthus,70,Lethrinidae,Pisci-invertivore,Reef,1
Lethrinus harak,50,Lethrinidae,Pisci-invertivore,Reef,1
Lethrinus lentjan,52,Lethrinidae,Pisci-invertivore,Reef,1
Lethrinus mahsena,65,Lethrinidae,Pisci-invertivore,Reef,1
Lethrinus microdon,80,Lethrinidae,Pisci-invertivore,Reef,1
Lethrinus microdon,80,Lethrinidae,Pisci-invertivore,Reef,1
Lethrinus miniatus,90,Lethrinidae,Pisci-invertivore,Reef,1
Lethrinus nebulosus,87,Lethrinidae,Pisci-invertivore,Reef,1
Lethrinus obsoletus,60,Lethrinidae,Pisci-invertivore,Reef,1
Lethrinus olivaceous,100,Lethrinidae,Pisci-invertivore,Reef,1
Lethrinus olivaceus,100,Lethrinidae,Pisci-invertivore,Reef,1
Lethrinus rubrioperculatus,50,Lethrinidae,Pisci-invertivore,Reef,1
Lethrinus sp,70,Lethrinidae,Pisci-invertivore,Reef,1
Lethrinus xanthocheilus,70,Lethrinidae,Pisci-invertivore,Reef,1
Lethrinus xanthochilus,70,Lethrinidae,Pisci-invertivore,Reef,1
Liopropoma rubre,10,Serranidae,Macro-invertivore,Reef,1
Lotilia graciliosa,4.5,Gobiidae,Detritivore,Reef,1
Lucayablennius zingaro,3.8,Chaenopsidae,Detritivore,Reef,1
Lutjanus analis,94,Lutjanidae,Pisci-invertivore,Reef,1
Lutjanus apodus,67.2,Lutjanidae,Pisci-invertivore,Reef,1
Lutjanus argentimaculatus,150,Lutjanidae,Pisci-invertivore,Reef,1
Lutjanus bengalensis,30,Lutjanidae,Pisci-invertivore,Reef,1
Lutjanus biguttatus,25,Lutjanidae,Pisci-invertivore,Reef,1
Lutjanus bohar,90,Lutjanidae,Piscivore,Reef,1
Lutjanus carponotatus,40,Lutjanidae,Pisci-invertivore,Reef,1
Lutjanus cyanopterus,160,Lutjanidae,Pisci-invertivore,Reef,1
Lutjanus decussatus,35,Lutjanidae,Pisci-invertivore,Reef,1
Lutjanus ehrenbergii,35,Lutjanidae,Pisci-invertivore,Reef,1
Lutjanus fulviflamma,35,Lutjanidae,Pisci-invertivore,Reef,1
Lutjanus fulvus,40,Lutjanidae,Pisci-invertivore,Reef,1
Lutjanus gibbus,50,Lutjanidae,Pisci-invertivore,Reef,1
Lutjanus griseus,89,Lutjanidae,Pisci-invertivore,Reef,1
Lutjanus jocu,128,Lutjanidae,Pisci-invertivore,Reef,1
Lutjanus kasmira,40,Lutjanidae,Pisci-invertivore,Reef,1
Lutjanus lutjanus,35,Lutjanidae,Pisci-invertivore,Reef,1
Lutjanus mahogoni,48,Lutjanidae,Pisci-invertivore,Reef,1
Lutjanus maxweberi,15,Lutjanidae,Pisci-invertivore,Reef,1
Lutjanus monostigma,60,Lutjanidae,Pisci-invertivore,Reef,1
Lutjanus quinquelineatus,38,Lutjanidae,Pisci-invertivore,Reef,1
Lutjanus rivulatus,80,Lutjanidae,Pisci-invertivore,Reef,1
Lutjanus russeli,50,Lutjanidae,Pisci-invertivore,Reef,1
Lutjanus semicinctus,35,Lutjanidae,Pisci-invertivore,Reef,1
Lutjanus sp,55,Lutjanidae,Pisci-invertivore,Reef,1
Lutjanus sp,55,Lutjanidae,Pisci-invertivore,Reef,1
Lutjanus synagris,60,Lutjanidae,Pisci-invertivore,Reef,1
Luzonichthys sp,5.8,Serranidae,Planktivore,Reef,1
Luzonichthys whitleyi,5.8,Serranidae,Planktivore,Reef,1
Macolor macularis,60,Lutjanidae,Pisci-invertivore,Reef,1
Macolor niger,75,Lutjanidae,Pisci-invertivore,Reef,1
Macolor niger,75,Lutjanidae,Pisci-invertivore,Reef,1
Macolor sp,75,Lutjanidae,Pisci-invertivore,Reef,1
Macropharyngodon bipartitus,13,Labridae,Micro-invertivore,Reef,1
Macropharyngodon geoffroy,15,Labridae,Micro-invertivore,Reef,1
Macropharyngodon meleagris,15,Labridae,Micro-invertivore,Reef,1
Macropharyngodon sp,15,Labridae,Micro-invertivore,Reef,1
Macropharyngodon sp,15,Labridae,Micro-invertivore,Reef,1
Malacanthus brevirostris,32,Malacanthidae,Macro-invertivore,Reef,1
Malacanthus latovittatus,45,Malacanthidae,Macro-invertivore,Reef,1
Malacanthus plumieri,70,Malacanthidae,Macro-invertivore,Reef,1
Malacoctenus boehlkei,6.4,Labrisomidae,Micro-invertivore,Reef,1
Malacoctenus macropus,5.5,Labrisomidae,Micro-invertivore,Reef,1
Malacoctenus triangulatus,7.5,Labrisomidae,Micro-invertivore,Reef,1
Carcharhinus melanopterus,200,Carcharhinidae,Piscivore,Unknown,0
Meiacanthus atrodorsalis,11,Blenniidae,Micro-invertivore,Reef,1
Melichthys indicus,25,Balistidae,Planktivore,Reef,1
Melichthys niger,50,Balistidae,Planktivore,Reef,1
Melichthys sp,37,Balistidae,Planktivore,Reef,1
Melichthys sp,37,Balistidae,Planktivore,Reef,1
Melichthys vidua,40,Balistidae,Planktivore,Reef,1
Micrognathus ensenadae,15,Sygnathidae,Macro-invertivore,Reef,1
Microspathodon chrysurus,21,Pomacentridae,Grazer,Reef,1
Monacanthus tuckeri,10,Monacanthidae,Micro-invertivore,Reef,1
Monotaxis grandoculis,60,Lethrinidae,Macro-invertivore,Reef,1
Mulloidichthys flavolineatus,43,Mullidae,Macro-invertivore,Reef,1
Mulloidichthys martinicus,39.4,Mullidae,Pisci-invertivore,Reef,1
Mulloidichthys mimicus,30,Mullidae,Pisci-invertivore,Reef,1
Mulloidichthys pfluegeri,40,Mullidae,Pisci-invertivore,Reef,1
