,,,,,,,,,,,MacNeil et al. ,,In review paper from Ivor,Ivor most recent,,,,,,,,,
spp,SPECIES,FAMILY,family,COMMONFAMILYALL,TROPHIC_MONREP,A2_guild,TOPHIC_MONREP,size,habitat,Included,fg,EDITED,A2_fg,Ivor_F1,Ivor_F2,A2_size,A2_schooling,Ivor_guild,criteria,,,,
Cantherhines longicaudus,NA,NA,Monacanthidae,NA,NA,NA,NA,13.2,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Cantherhines macrocerus,NA,NA,Monacanthidae,NA,NA,NA,NA,46,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Cantherhines pulles,NA,NA,Monacanthidae,NA,NA,NA,NA,38,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Cantherhines rapanui,NA,NA,Monacanthidae,NA,NA,NA,NA,20,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Canthidermis sufflamen,NA,NA,Balistidae,NA,NA,NA,NA,65,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Canthigaster rostrata,NA,NA,Tetraodontidae,NA,NA,NA,NA,12,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Canthigaster smithae,NA,NA,Tetraodontidae,NA,NA,NA,NA,13,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Carangoides fulvoguttatus,NA,NA,Carangidae,NA,NA,NA,NA,120,Pelagic,0,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Carangoides oblongus,NA,NA,Carangidae,NA,NA,NA,NA,46,Pelagic,0,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Carangoides plagiotaenia,NA,NA,Carangidae,NA,NA,NA,NA,50,Pelagic,0,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Caranx bartholomaei,NA,NA,Carangidae,NA,NA,NA,NA,100,Pelagic,0,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Caranx crysos,NA,NA,Carangidae,NA,NA,NA,NA,70,Pelagic,0,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Caranx latus,NA,NA,Carangidae,NA,NA,NA,NA,101,Pelagic,0,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Caranx ruber,NA,NA,Carangidae,NA,NA,NA,NA,65,Pelagic,0,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Carcharhinus albimarginatus,NA,NA,Carcharhinidae,NA,NA,NA,NA,300,Unknown,0,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Carcharhinus perezi,NA,NA,Carcharhinidae,NA,NA,NA,NA,250,Unknown,0,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Centropyge acanthops,NA,NA,Pomacanthidae,NA,NA,NA,NA,8,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Centropyge argi,NA,NA,Pomacanthidae,NA,NA,NA,NA,8,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Centropyge bispinosus,NA,NA,Pomacanthidae,NA,NA,NA,NA,10,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Centropyge flavicauda,NA,NA,Pomacanthidae,NA,NA,NA,Herb,8,Reef,1,Micro-invertivore,,NA,GD ,GD ,NA,NA,H,0,,,,
Centropyge hotumatua,NA,NA,Pomacanthidae,NA,NA,NA,NA,8,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Centropyge loriculus,NA,NA,Pomacanthidae,NA,NA,NA,NA,8,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Centropyge multispinis,NA,NA,Pomacanthidae,NA,NA,NA,NA,14,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Centropyge sp,NA,NA,Pomacanthidae,NA,NA,NA,NA,12,Reef,1,Micro-invertivore,,NA,GD ,GD ,NA,NA,NA,0,,,,
Centropyge sp,NA,NA,Pomacanthidae,NA,NA,NA,NA,12,Reef,1,Micro-invertivore,,NA,GD ,GD ,NA,NA,NA,0,,,,
Cephalopholis cruentatus,NA,NA,Serranidae,NA,NA,NA,NA,42,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Cephalopholis cyanostigma,NA,NA,Serranidae,NA,NA,NA,NA,40,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Cephalopholis formosa,NA,NA,Serranidae,NA,NA,NA,NA,34,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Cephalopholis fulvus,NA,NA,Serranidae,NA,NA,NA,NA,41,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Cephalopholis microprion,NA,NA,Serranidae,NA,NA,NA,NA,25,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Cephalopholis nigripinnis,NA,NA,Serranidae,NA,NA,NA,NA,28,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Cetoscarus bicolor,NA,NA,Scaridae,NA,NA,NA,NA,90,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodipterus faber,NA,NA,Ephippidae,NA,NA,NA,NA,91,Pelagic,0,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon aureofasciatus,NA,NA,Chaetodontidae,NA,NA,NA,NA,12.5,Reef,1,Corallivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon baronessa,NA,NA,Chaetodontidae,NA,NA,NA,NA,16,Reef,1,Corallivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon capistratus,NA,NA,Chaetodontidae,NA,NA,NA,NA,7.5,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon falcula,NA,NA,Chaetodontidae,NA,NA,NA,NA,20,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon falcula,NA,NA,Chaetodontidae,NA,NA,NA,NA,20,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon flavirostris,NA,NA,Chaetodontidae,NA,NA,NA,NA,20,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon flavirostris,NA,NA,Chaetodontidae,NA,NA,NA,NA,20,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon guttatissimus,NA,NA,Chaetodontidae,NA,NA,NA,NA,12,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon litus,NA,NA,Chaetodontidae,NA,NA,NA,NA,15.5,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon madagaskariensis,NA,NA,Chaetodontidae,NA,NA,NA,NA,13,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon ocellatus,NA,NA,Chaetodontidae,NA,NA,NA,NA,20,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon ocellicaudus,NA,NA,Chaetodontidae,NA,NA,NA,NA,15,Reef,1,Corallivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon oxycephalus,NA,NA,Chaetodontidae,NA,NA,NA,NA,25,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon plebeius,NA,NA,Chaetodontidae,NA,NA,NA,NA,15,Reef,1,Corallivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon plebeius,NA,NA,Chaetodontidae,NA,NA,NA,NA,15,Reef,1,Corallivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon rainfordi,NA,NA,Chaetodontidae,NA,NA,NA,NA,15,Reef,1,Corallivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon sedentarius,NA,NA,Chaetodontidae,NA,NA,NA,NA,15,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon smithi,NA,NA,Chaetodontidae,NA,NA,NA,NA,19,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon speculum,NA,NA,Chaetodontidae,NA,NA,NA,NA,18,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon striatus,NA,NA,Chaetodontidae,NA,NA,NA,NA,16,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon triangulum,NA,NA,Chaetodontidae,NA,NA,NA,NA,16,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon trifasciatus,NA,NA,Chaetodontidae,NA,NA,NA,NA,15,Reef,1,Corallivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon trifasciatus,NA,NA,Chaetodontidae,NA,NA,NA,NA,15,Reef,1,Corallivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon xanthocephalus,NA,NA,Chaetodontidae,NA,NA,NA,NA,20,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chaetodon zanzibarensis,NA,NA,Chaetodontidae,NA,NA,NA,NA,12,Reef,1,Corallivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Channomuraena vittata,NA,NA,Muraenidae,NA,NA,NA,NA,150,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Cheilinus bimaculatus,NA,NA,Labridae,NA,NA,NA,NA,15,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Cheilodactylus plessisi,NA,NA,Latridae,NA,NA,NA,NA,60,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
