"","spp","SPECIES","FAMILY","COMMONFAMILYALL","TROPHIC_MONREP","size","family","fg","habitat","Included"
"575","Sargocentron tiere","SATI","Holocentridae","Soldierfish","SECONDARY",33,"Holocentridae","Pisci-invertivore","Nocturnal",0
"576","Sargocentron xantherythrum","SAXA","Holocentridae","Soldierfish","SECONDARY",17,"Holocentridae","Pisci-invertivore","Nocturnal",0
"577","Saurida flamma","SAFL","Synodontidae","Lizardfishes","PISCIVORE",30.5,"Synodontidae","Piscivore","Reef",1
"578","Saurida gracilis","SAGR","Synodontidae","Lizardfishes","PISCIVORE",32,"Synodontidae","Piscivore","Reef",1
"579","Scarus altipinnis","SCAL","Scaridae","Parrotfish","PRIMARY",60,"Scaridae","Excavator/scraper","Reef",1
"580","Scarus dimidiatus","SCDM","Scaridae","Parrotfish","PRIMARY",40,"Scaridae","Excavator/scraper","Reef",1
"581","Scarus dubius","SCDU","Scaridae","Parrotfish","PRIMARY",35.6,"Scaridae","Excavator/scraper","Reef",1
"582","Scarus festivus","SCFE","Scaridae","Parrotfish","PRIMARY",45,"Scaridae","Excavator/scraper","Reef",1
"583","Scarus forsteni","SCFO","Scaridae","Parrotfish","PRIMARY",55,"Scaridae","Excavator/scraper","Reef",1
"584","Scarus forsteni","SCFO","Scaridae","Parrotfish","PRIMARY",55,"Scaridae","Excavator/scraper","Reef",1
"585","Scarus frenatus","SCFR","Scaridae","Parrotfish","PRIMARY",47,"Scaridae","Excavator/scraper","Reef",1
"586","Scarus frenatus","SCFR","Scaridae","Parrotfish","PRIMARY",47,"Scaridae","Excavator/scraper","Reef",1
"587","Scarus fuscocaudalis","SCFU","Scaridae","Parrotfish","PRIMARY",25,"Scaridae","Excavator/scraper","Reef",1
"588","Scarus ghobban","SCGH","Scaridae","Parrotfish","PRIMARY",90,"Scaridae","Excavator/scraper","Reef",1
"589","Scarus globiceps","SCGL","Scaridae","Parrotfish","PRIMARY",27,"Scaridae","Excavator/scraper","Reef",1
"590","Scarus niger","SCNI","Scaridae","Parrotfish","PRIMARY",40,"Scaridae","Excavator/scraper","Reef",1
"591","Scarus oviceps","SCOV","Scaridae","Parrotfish","PRIMARY",35,"Scaridae","Excavator/scraper","Reef",1
"592","Scarus psittacus","SCPS","Scaridae","Parrotfish","PRIMARY",30,"Scaridae","Excavator/scraper","Reef",1
"593","Scarus rubroviolaceus","SCRU","Scaridae","Parrotfish","PRIMARY",70,"Scaridae","Excavator/scraper","Reef",1
"594","Scarus schlegeli","SCSC","Scaridae","Parrotfish","PRIMARY",40,"Scaridae","Excavator/scraper","Reef",1
"595","Scarus sp","SCSP","Scaridae","Parrotfish","PRIMARY",50,"Scaridae","Excavator/scraper","Reef",1
"596","Scarus sp","SCSP","Scaridae","Parrotfish","PRIMARY",50,"Scaridae","Excavator/scraper","Reef",1
"597","Scarus sp","SCSP","Scaridae","Parrotfish","PRIMARY",50,"Scaridae","Excavator/scraper","Reef",1
"598","Scarus sp","SCSP","Scaridae","Parrotfish","PRIMARY",50,"Scaridae","Excavator/scraper","Reef",1
"599","Scarus spinus","SCSI","Scaridae","Parrotfish","PRIMARY",30,"Scaridae","Excavator/scraper","Reef",1
"600","Scarus tricolor","SCTR","Scaridae","Parrotfish","PRIMARY",26.6,"Scaridae","Excavator/scraper","Reef",1
"601","Scarus xanthopleura","SCXA","Scaridae","Parrotfish","PRIMARY",54,"Scaridae","Excavator/scraper","Reef",1
"602","Scolopsis lineata","SCLI","Nemipteridae","Threadfin","SECONDARY",25,"Nemipteridae","Micro-invertivore","Reef",1
"603","Scolopsis lineata","SCLI","Nemipteridae","Threadfin","SECONDARY",25,"Nemipteridae","Micro-invertivore","Reef",1
"604","Scomberoides lysan","SCLY","Carangidae","Jack","PISCIVORE",110,"Carangidae","Piscivore","Pelagic",0
"605","Scorpaenodes parvipinnis","SCPA","Scorpaenidae","Scorpionfish","SECONDARY",14,"Scorpaenidae","Micro-invertivore","Reef",1
