"","spp","SPECIES","FAMILY","COMMONFAMILYALL","TROPHIC_MONREP","size","family","fg","habitat","Included"
"22","Acanthurus nigroris","ACNR","Acanthuridae","Surgeonfish","PRIMARY",25,"Acanthuridae","Grazer","Reef",1
"23","Acanthurus nigroris","ACNR","Acanthuridae","Surgeonfish","PRIMARY",25,"Acanthuridae","Grazer","Reef",1
"24","Acanthurus nubilus","ACNU","Acanthuridae","Surgeonfish","PLANKTIVORE",26,"Acanthuridae","Planktivore","Reef",1
"25","Acanthurus olivaceus","ACOL","Acanthuridae","Surgeonfish","PRIMARY",35,"Acanthuridae","Detritivore","Reef",1
"26","Acanthurus olivaceus","ACOL","Acanthuridae","Surgeonfish","PRIMARY",35,"Acanthuridae","Detritivore","Reef",1
"27","Acanthurus pyroferus","ACPY","Acanthuridae","Surgeonfish","PRIMARY",29,"Acanthuridae","Grazer","Reef",1
"28","Acanthurus sp","ACSP","Acanthuridae","Surgeonfish","PRIMARY",36,"Acanthuridae","Grazer","Reef",1
"29","Acanthurus sp","ACSP","Acanthuridae","Surgeonfish","PRIMARY",36,"Acanthuridae","Grazer","Reef",1
"30","Acanthurus thompsoni","ACTH","Acanthuridae","Surgeonfish","PLANKTIVORE",27,"Acanthuridae","Planktivore","Reef",1
"31","Acanthurus triostegus","ACTR","Acanthuridae","Surgeonfish","PRIMARY",27,"Acanthuridae","Grazer","Reef",1
"32","Acanthurus xanthopterus","ACXA","Acanthuridae","Surgeonfish","PRIMARY",70,"Acanthuridae","Grazer","Reef",1
"33","Aethaloperca rogaa","AERO","Serranidae","Grouper","PISCIVORE",60,"Serranidae","Piscivore","Reef",1
"34","Aetobatus narinari","AENA","Myliobatidae","Eagle Rays","SECONDARY",330,"Myliobatidae",NA,"Pelagic",0
"35","Aetobatus narinari","AENA","Myliobatidae","Eagle Rays","SECONDARY",330,"Myliobatidae",NA,"Pelagic",0
"36","Alectis ciliaris","ALCI","Carangidae","Jack","PISCIVORE",150,"Carangidae","Piscivore","Pelagic",0
"37","Aluterus scriptus","ALSC","Monacanthidae","Filefish","SECONDARY",110,"Monacanthidae","Micro-invertivore","Reef",1
"38","Amanses scopas","AMSC","Monacanthidae","Filefish","SECONDARY",20,"Monacanthidae","Micro-invertivore","Reef",1
"39","Amblycirrhitus bimacula","AMBI","Cirrhitidae","Hawkfish","SECONDARY",8.5,"Cirrhitidae","Micro-invertivore","Reef",1
"40","Amblyeleotris fasciata","AMFA","Gobiidae","Goby","PLANKTIVORE",8,"Gobiidae","Detritivore","Reef",1
"41","Amblyeleotris guttata","AMGU","Gobiidae","Goby","PLANKTIVORE",11,"Gobiidae","Detritivore","Reef",1
"42","Amblyglyphidodon curacao","AMCU","Pomacentridae","Damselfish","SECONDARY",11,"Pomacentridae","Planktivore","Reef",1
"43","Amblygobius phalaena","AMPH","Gobiidae","Goby","PRIMARY",15,"Gobiidae","Detritivore","Reef",1
"44","Amphiprion chrysopterus","AMCH","Pomacentridae","Damselfish","PLANKTIVORE",17,"Pomacentridae","Planktivore","Reef",1
"45","Amphiprion clarkii","AMCL","Pomacentridae","Damselfish","PLANKTIVORE",15,"Pomacentridae","Planktivore","Reef",1
"46","Amphiprion melanopus","AMME","Pomacentridae","Damselfish","PLANKTIVORE",12,"Pomacentridae","Planktivore","Reef",1
"47","Amphiprion perideraion","AMPE","Pomacentridae","Damselfish","PLANKTIVORE",10,"Pomacentridae","Planktivore","Reef",1
"48","Anampses caeruleopunctatus","ANCA","Labridae","Wrasse","SECONDARY",42,"Labridae","Micro-invertivore","Reef",1
"49","Anampses caeruleopunctatus","ANCA","Labridae","Wrasse","SECONDARY",42,"Labridae","Micro-invertivore","Reef",1
"50","Anampses chrysocephalus","ANCH","Labridae","Wrasse","SECONDARY",17,"Labridae","Micro-invertivore","Reef",1
"51","Anampses cuvier","ANCU","Labridae","Wrasse","SECONDARY",31,"Labridae","Micro-invertivore","Reef",1
"52","Anampses melanurus","ANME","Labridae","Wrasse","SECONDARY",12,"Labridae","Micro-invertivore","Reef",1
"53","Anampses meleagrides","ANMG","Labridae","Wrasse","SECONDARY",22,"Labridae","Micro-invertivore","Reef",1
"54","Anampses sp","ANSP","Labridae","Wrasse","SECONDARY",30,"Labridae","Micro-invertivore","Reef",1
"55","Anampses twistii","ANTW","Labridae","Wrasse","SECONDARY",18,"Labridae","Micro-invertivore","Reef",1
"56","Antennarius commerson","ANCO","Antennariidae","Frogfish","PISCIVORE",45,"Antennariidae","Pisci-invertivore","Reef",1
"57","Anthias sp","ANTH","Serranidae","Anthias","PLANKTIVORE",29,"Serranidae","Planktivore","Reef",1
"58","Anthias sp","ANTH","Serranidae","Anthias","PLANKTIVORE",29,"Serranidae","Planktivore","Reef",1
"59","Anthias sp","ANTH","Serranidae","Anthias","PLANKTIVORE",29,"Serranidae","Planktivore","Reef",1
"60","Anyperodon leucogrammicus","ANLE","Serranidae","Grouper","PISCIVORE",65,"Serranidae","Piscivore","Reef",1
"61","Aphareus furca","APFU","Lutjanidae","Snapper","PISCIVORE",70,"Lutjanidae","Piscivore","Pelagic",0
"62","Apogon angustatus","APAN","Apogonidae","Cardinalfish","PLANKTIVORE",11,"Apogonidae","Planktivore","Reef",1
"63","Apogon apogonoides","APAP","Apogonidae","Cardinalfish","PLANKTIVORE",10,"Apogonidae","Planktivore","Reef",1
"64","Apogon fraenatus","APFR","Apogonidae","Cardinalfish","PLANKTIVORE",10,"Apogonidae","Planktivore","Reef",1
"65","Apogon kallopterus","APKA","Apogonidae","Cardinalfish","PLANKTIVORE",15.5,"Apogonidae","Planktivore","Reef",1
"66","Apogon maculiferus","APMA","Apogonidae","Cardinalfish","PLANKTIVORE",14,"Apogonidae","Planktivore","Reef",1
"67","Apogon novemfasciatus","APNO","Apogonidae","Cardinalfish","PLANKTIVORE",10,"Apogonidae","Planktivore","Reef",1
"68","Apogon sp","APSP","Apogonidae","Cardinalfish","PLANKTIVORE",10,"Apogonidae","Planktivore","Reef",1
"69","Apogon sp","APSP","Apogonidae","Cardinalfish","PLANKTIVORE",10,"Apogonidae","Planktivore","Reef",1
"70","Apolemichthys arcuatus","APAR","Pomacanthidae","Angelfish","SECONDARY",18,"Pomacanthidae","Micro-invertivore","Reef",1
"71","Apolemichthys griffisi","APGR","Pomacanthidae","Angelfish","SECONDARY",30,"Pomacanthidae","Micro-invertivore","Reef",1
"72","Apolemichthys trimaculatus","APTR","Pomacanthidae","Angelfish","SECONDARY",26,"Pomacanthidae","Micro-invertivore","Reef",1
"73","Apolemichthys xanthopunctatus","APXA","Pomacanthidae","Angelfish","SECONDARY",25,"Pomacanthidae","Micro-invertivore","Reef",1
"74","Aprion virescens","APVI","Lutjanidae","Snapper","PISCIVORE",112,"Lutjanidae","Piscivore","Reef",1
