spp,A2_guild,A2_fg,A2_size,A2_schooling
Cheilinus fasciatus,Carnivore,Invertivore,36,2
Cheilinus oxycephalus,Carnivore,Invertivore,17,2
Cheilinus trilobatus,Carnivore,Invertivore,45,1
Cheilinus undulatus,Carnivore,Invertivore,229,1
Cheilinus sp.,Carnivore,Invertivore,71.8,1
Cirrhilabrus exquisitus,Planktivore,Diurnal planktivore,12,4
Cirrhilabrus jordani,Planktivore,Diurnal planktivore,10,4
Cirrhilabrus katherinae,Planktivore,Diurnal planktivore,9,4
Cirrhilabrus sp.,Planktivore,Diurnal planktivore,15,4
Coris aygula,Carnivore,Invertivore,120,1
Coris ballieui,Carnivore,Invertivore,30,1
Coris centralis,Carnivore,Invertivore,15,1
Coris flavovittata,Carnivore,Invertivore,65,3
Coris gaimard,Carnivore,Invertivore,40,1
Coris venusta,Carnivore,Invertivore,20,1
Epibulus insidiator,Carnivore,Generalist carnivore,54,1
Gomphosus varius,Carnivore,Generalist carnivore,32,1
Halichoeres biocellatus,Carnivore,Invertivore,12,3
Halichoeres hortulanus,Carnivore,Invertivore,27,3
Halichoeres margaritaceus,Carnivore,Invertivore,13,3
Halichoeres marginatus,Carnivore,Invertivore,18,3
Halichoeres melasmapomus,Carnivore,Invertivore,14,3
Halichoeres ornatissimus,Carnivore,Invertivore,15,3
Halichoeres trimaculatus,Carnivore,Invertivore,27,3
Halichoeres sp.,Carnivore,Invertivore,19.3,3
Hemigymnus fasciatus,Carnivore,Invertivore,50,1
Hemigymnus melapterus,Carnivore,Invertivore,60,1
Hologymnosus annulatus,Carnivore,Diurnal piscivore,40,1
Hologymnosus doliatus,Carnivore,Generalist carnivore,40,3
Labrichthys unilineatus,Carnivore,Corallivore,16,1
Labroides bicolor,Carnivore,Ectoparasites,14,2
Labroides dimidiatus,Carnivore,Ectoparasites,12,2
Labroides pectoralis,Carnivore,Ectoparasites,8,2
Labroides phthirophagus,Carnivore,Ectoparasites,10,2
Labroides rubrolabiatus,Carnivore,Ectoparasites,9,2
Labropsis xanthonota,Carnivore,Corallivore,14,3
Macropharyngodon geoffroy,Carnivore,Invertivore,16,3
Macropharyngodon meleagris,Carnivore,Invertivore,15,3
Novaculichthys taeniourus,Carnivore,Invertivore,30,2
Oxycheilinus bimaculatus,Carnivore,Invertivore,15,1
Oxycheilinus digramma,Carnivore,Diurnal piscivore,30,1
Oxycheilinus unifasciatus,Carnivore,Diurnal piscivore,46,1
Oxycheilinus sp.,Carnivore,Diurnal piscivore,27.8,1
Pseudocheilinus evanidus,Carnivore,Generalist carnivore,14,1
Pseudocheilinus hexataenia,Carnivore,Invertivore,8,3
Pseudocheilinus ocellatus,Carnivore,Invertivore,10.5,1
Pseudocheilinus octotaenia,Carnivore,Invertivore,14,3
Pseudocheilinus tetrataenia,Carnivore,Invertivore,8,3
Pseudocoris aurantiofasciata,Planktivore,Diurnal planktivore,20,3
Pseudocoris heteroptera,Planktivore,Diurnal planktivore,20,4
Pseudocoris yamashiroi,Planktivore,Diurnal planktivore,16,4
Pseudodax moluccanus,Omnivore,Benthic omnivore,26,1
Pseudojuloides atavai,Carnivore,Invertivore,13,3
Pseudojuloides cerasinus,Carnivore,Invertivore,12,3
Stethojulis balteata,Carnivore,Invertivore,15,3
Stethojulis bandanensis,Carnivore,Invertivore,16,3
Stethojulis strigiventer,Carnivore,Invertivore,15,3
Thalassoma amblycephalum,Planktivore,Diurnal planktivore,15,3
Thalassoma ballieui,Carnivore,Generalist carnivore,43,3
Thalassoma duperrey,Carnivore,Generalist carnivore,26,3
Thalassoma hardwicke,Carnivore,Invertivore,20,3
Thalassoma lunare,Carnivore,Invertivore,25,3
Thalassoma lutescens,Carnivore,Invertivore,25,3
